,Name,file,file_path,id,path,size,status
60,IDMC scraper,README.md,./hdxscraper-idmc/README.md,3zgvabr,./hdxscraper-idmc,615,OK
61,IDMC scraper,LICENSE,./hdxscraper-idmc/LICENSE,3zgvabr,./hdxscraper-idmc,1079,OK
62,IDMC scraper,run.py,./hdxscraper-idmc/run.py,3zgvabr,./hdxscraper-idmc,2023,OK
63,IDMC scraper,test-requirements.txt,./hdxscraper-idmc/test-requirements.txt,3zgvabr,./hdxscraper-idmc,52,OK
64,IDMC scraper,project_configuration.yml,./hdxscraper-idmc/config/project_configuration.yml,3zgvabr,./hdxscraper-idmc/config,703,OK
65,IDMC scraper,smtp_configuration.yml,./hdxscraper-idmc/config/smtp_configuration.yml,3zgvabr,./hdxscraper-idmc/config,117,OK
66,IDMC scraper,hdx_dataset_static.yml,./hdxscraper-idmc/config/hdx_dataset_static.yml,3zgvabr,./hdxscraper-idmc/config,137,OK
67,IDMC scraper,test_idmc.py,./hdxscraper-idmc/tests/test_idmc.py,3zgvabr,./hdxscraper-idmc/tests,8817,OK
68,IDMC scraper,__init__.py,./hdxscraper-idmc/tests/__init__.py,3zgvabr,./hdxscraper-idmc/tests,0,OK
69,IDMC scraper,project_configuration.yml,./hdxscraper-idmc/tests/config/project_configuration.yml,3zgvabr,./hdxscraper-idmc/tests/config,327,OK
70,IDMC scraper,index.html,./tool/http/index.html,3zgvabr,./tool/http,1676,OK
71,World Bank scraper,.bash_history,./.bash_history,xnemvl4,.,2676,OK
72,World Bank scraper,.worldbankuseragent.yml,./.worldbankuseragent.yml,xnemvl4,.,45,OK
73,World Bank scraper,log.txt,./log.txt,xnemvl4,.,947669,OK
74,World Bank scraper,.selected_editor,./.selected_editor,xnemvl4,.,66,OK
75,World Bank scraper,.hdxkey,./.hdxkey,xnemvl4,.,37,OK
76,World Bank scraper,setup.sh,./hdxscraper-worldbank/setup.sh,xnemvl4,./hdxscraper-worldbank,130,OK
77,World Bank scraper,run.sh,./hdxscraper-worldbank/run.sh,xnemvl4,./hdxscraper-worldbank,55,OK
